Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite1,Chrome 66.0.3359.181,,2018-07-24 13:10:37,2018-07-24 13:10:59,21.484s,FAILED
,,,,,,
Test Cases/gmmtest/case3,Chrome 66.0.3359.181,,2018-07-24 13:10:38,2018-07-24 13:10:58,19.981s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-07-24 13:10:38,2018-07-24 13:10:42,4.319s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-07-24 13:10:42,2018-07-24 13:10:47,4.397s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-07-24 13:10:47,2018-07-24 13:10:52,5.053s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-07-24 13:10:52,2018-07-24 13:10:56,3.941s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 13:10:56,2018-07-24 13:10:56,0.429s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 13:10:56,2018-07-24 13:10:57,0.371s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 13:10:57,2018-07-24 13:10:57,0.288s,PASSED
click,Chrome 66.0.3359.181,,2018-07-24 13:10:57,2018-07-24 13:10:58,0.781s,FAILED
