Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite1,Chrome 66.0.3359.181,,2018-07-24 13:14:02,2018-07-24 13:14:27,24.687s,FAILED
,,,,,,
Test Cases/gmmtest/case3,Chrome 66.0.3359.181,,2018-07-24 13:14:03,2018-07-24 13:14:26,23.098s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-07-24 13:14:03,2018-07-24 13:14:10,6.638s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-07-24 13:14:10,2018-07-24 13:14:14,3.994s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-07-24 13:14:14,2018-07-24 13:14:19,4.844s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-07-24 13:14:19,2018-07-24 13:14:22,3.469s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 13:14:22,2018-07-24 13:14:23,0.668s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 13:14:23,2018-07-24 13:14:23,0.523s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 13:14:23,2018-07-24 13:14:24,0.453s,PASSED
click,Chrome 66.0.3359.181,,2018-07-24 13:14:24,2018-07-24 13:14:24,0.250s,PASSED
click,Chrome 66.0.3359.181,,2018-07-24 13:14:24,2018-07-24 13:14:26,1.849s,FAILED
