Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite1,Chrome 66.0.3359.181,,2018-07-24 11:51:38,2018-07-24 11:52:00,22.729s,FAILED
,,,,,,
Test Cases/gmmtest/case3,Chrome 66.0.3359.181,,2018-07-24 11:51:38,2018-07-24 11:51:59,20.924s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-07-24 11:51:38,2018-07-24 11:51:43,4.743s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-07-24 11:51:43,2018-07-24 11:51:47,3.689s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-07-24 11:51:47,2018-07-24 11:51:51,4.414s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-07-24 11:51:51,2018-07-24 11:51:55,3.651s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 11:51:55,2018-07-24 11:51:56,0.758s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 11:51:56,2018-07-24 11:51:56,0.644s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 11:51:56,2018-07-24 11:51:57,0.419s,PASSED
click,Chrome 66.0.3359.181,,2018-07-24 11:51:57,2018-07-24 11:51:57,0.275s,PASSED
click,Chrome 66.0.3359.181,,2018-07-24 11:51:57,2018-07-24 11:51:59,1.935s,FAILED
