Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite1,Chrome 66.0.3359.181,,2018-07-24 11:49:20,2018-07-24 11:50:02,41.634s,FAILED
,,,,,,
Test Cases/gmmtest/case3,Chrome 66.0.3359.181,,2018-07-24 11:49:20,2018-07-24 11:50:00,39.544s,FAILED
openBrowser,Chrome 66.0.3359.181,,2018-07-24 11:49:21,2018-07-24 11:49:29,8.376s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-07-24 11:49:29,2018-07-24 11:49:36,6.486s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-07-24 11:49:36,2018-07-24 11:49:49,13.485s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-07-24 11:49:49,2018-07-24 11:49:53,4.109s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 11:49:53,2018-07-24 11:49:54,0.789s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 11:49:54,2018-07-24 11:49:55,0.399s,PASSED
setText,Chrome 66.0.3359.181,,2018-07-24 11:49:55,2018-07-24 11:49:55,0.267s,PASSED
click,Chrome 66.0.3359.181,,2018-07-24 11:49:55,2018-07-24 11:49:58,2.819s,PASSED
click,Chrome 66.0.3359.181,,2018-07-24 11:49:58,2018-07-24 11:50:00,2.382s,FAILED
